Timestamp,F3 Value,F3 Quality,FC5 Value,FC5 Quality,F7 Value,F7 Quality,T7 Value,T7 Quality,P7 Value,P7 Quality,O1 Value,O1 Quality,O2 Value,O2 Quality,P8 Value,P8 Quality,T8 Value,T8 Quality,F8 Value,F8 Quality,AF4 Value,AF4 Quality,FC6 Value,FC6 Quality,F4 Value,F4 Quality,AF3 Value,AF3 Quality,X Value,Y Value,Z Value
2018-07-08 16:19:30.949504,3134.23076687,2546.3939391393,4118.84615357,5991.727272128101,1394.74358370,3832.2121208289,49.10255521,5760.9393933633,7696.15385345,2760.6969694209,6777.17949253,6090.6363630273,738.33332590,4293.7878783585,902.43589035,3914.6363632449,2280.89743173,6304.9393933089,2576.28204774,6865.4242417377,6219.35897853,2843.1212118369,7499.48718637,4260.8181813921,5204.87179689,3354.1515148161,2018.33332861,0,0,0,?
2018-07-08 16:19:30.955488,1000.89742902,2546.3939391393,410.12819700,5991.727272128101,6317.69231207,3832.2121208289,541.41024856,5760.9393933633,639.87178723,2760.6969694209,4086.02564068,6090.6363630273,2051.15384150,4293.7878783585,1230.64101925,3914.6363632449,1690.12819971,6304.9393933089,4939.23077069,6865.4242417377,6711.53846675,2843.1212118369,5563.07692586,4260.8181813921,6681.66667181,3354.1515148161,16.28204232,0,0,0,?
2018-07-08 16:19:30.963467,1197.82050636,2546.3939391393,639.87178723,5991.727272128101,7072.56410854,3832.2121208289,771.15383879,5760.9393933633,1132.17948058,2760.6969694209,968.07691613,6090.6363630273,1854.23076416,4293.7878783585,377.30768411,3914.6363632449,1296.28204503,6304.9393933089,7072.56410854,6865.4242417377,935.25640324,2843.1212118369,5563.07692586,4260.8181813921,1299.23076298,3354.1515148161,81.92306810,0,0,0,?
2018-07-08 16:19:30.964465,2215.25640595,2546.3939391393,935.25640324,5991.727272128101,1099.35896769,3832.2121208289,869.61537746,5760.9393933633,1000.89742902,2760.6969694209,508.58973567,6090.6363630273,1460.38460948,4293.7878783585,1329.10255792,3914.6363632449,1821.41025127,6304.9393933089,8221.28205969,6865.4242417377,1558.84614815,2843.1212118369,5760.00000320,4260.8181813921,8158.58975186,3354.1515148161,1526.02563526,0,0,0,?
2018-07-08 16:19:30.985408,2215.25640595,2546.3939391393,935.25640324,5991.727272128101,1099.35896769,3832.2121208289,869.61537746,5760.9393933633,1000.89742902,2760.6969694209,508.58973567,6090.6363630273,1460.38460948,4293.7878783585,1329.10255792,3914.6363632449,1821.41025127,6304.9393933089,8221.28205969,6865.4242417377,1558.84614815,2843.1212118369,5760.00000320,4260.8181813921,8158.58975186,3354.1515148161,1526.02563526,0,0,0,?
2018-07-08 16:19:31.009344,2215.25640595,2546.3939391393,935.25640324,5991.727272128101,1099.35896769,3832.2121208289,869.61537746,5760.9393933633,1000.89742902,2760.6969694209,508.58973567,6090.6363630273,1460.38460948,4293.7878783585,1329.10255792,3914.6363632449,1821.41025127,6304.9393933089,8221.28205969,6865.4242417377,1558.84614815,2843.1212118369,5760.00000320,4260.8181813921,8158.58975186,3354.1515148161,1526.02563526,0,0,0,?
2018-07-08 16:19:31.015328,2215.25640595,2546.3939391393,935.25640324,5991.727272128101,1099.35896769,3832.2121208289,869.61537746,5760.9393933633,1000.89742902,2760.6969694209,508.58973567,6090.6363630273,1460.38460948,4293.7878783585,1329.10255792,3914.6363632449,1821.41025127,6304.9393933089,8221.28205969,6865.4242417377,1558.84614815,2843.1212118369,5760.00000320,4260.8181813921,8158.58975186,3354.1515148161,1526.02563526,0,0,0,?
2018-07-08 16:19:31.016326,902.43589035,2546.3939391393,7925.89744368,5991.727272128101,4807.94871913,3832.2121208289,1361.92307081,5760.9393933633,1132.17948058,2760.6969694209,3495.25640866,6090.6363630273,1952.69230283,4293.7878783585,410.12819700,3914.6363632449,803.97435168,6304.9393933089,5726.92308005,6865.4242417377,6219.23077340,2843.1212118369,5792.82051609,4260.8181813921,6747.30769759,3354.1515148161,7925.89744368,0,0,0,?
2018-07-08 16:19:31.029291,1755.76922549,2546.3939391393,278.84614544,5991.727272128101,7400.76923744,3832.2121208289,1099.35896769,5760.9393933633,803.97435168,2760.6969694209,1919.87178994,6090.6363630273,1985.51281572,4293.7878783585,1526.02563526,3914.6363632449,2116.79486728,6304.9393933089,7991.53846946,6865.4242417377,1952.69230283,2843.1212118369,6317.94872233,4260.8181813921,2251.02563679,3354.1515148161,8090.00000813,0,0,0,?
2018-07-08 16:19:31.035275,1755.76922549,2546.3939391393,278.84614544,5991.727272128101,7400.76923744,3832.2121208289,1099.35896769,5760.9393933633,803.97435168,2760.6969694209,1919.87178994,6090.6363630273,1985.51281572,4293.7878783585,1526.02563526,3914.6363632449,2116.79486728,6304.9393933089,7991.53846946,6865.4242417377,1952.69230283,2843.1212118369,6317.94872233,4260.8181813921,2251.02563679,3354.1515148161,8090.00000813,0,0,0,?
